Europe;01/01/2020;0;0;1;0;Fall into a mountain crevice;Cliffs near Socerb Castle, Slovenia, on the border near Trieste, Italy;45.591748469734, 13.854206163971;https://bit.ly/36ukF6v
Sub-Saharan Africa;01/01/2020;1;0;0;0;Shot;Niger-Algeria border, near N’Guezzam, Algeria;19.456996117519, 5.764623476008;https://bit.ly/2SgRMVn
Europe;31/12/2019;0;0;0;0;Drowning;Unspecified location, Bosnia and Herzegovina;44.210945440680, 19.023558588857;
Europe;31/12/2019;0;0;0;0;Vehicle  accident;Unspecified location, Bosnia and Herzegovina;44.163960197629, 19.199461369658;
Europe;31/12/2019;0;0;0;0;Fell;Unspecified location, Bosnia and Herzegovina;44.162208777872, 19.204954533721;
US-Mexico Border;31/12/2019;0;0;1;0;Unknown;Unspecified location in Jeff Davis County, Texas, USA;30.578414944603, -104.382605960160;
US-Mexico Border;31/12/2019;0;0;0;0;Unknown;Unspecified location in Brewster County, Texas, USA;29.662993800000, -103.358728800000;
North Africa;31/12/2019;0;1;0;0;Vehicle Accident;Unspecified location in the desert, Libya;23.649993000000, 14.543594000000;
Mediterranean;30/12/2019;0;0;1;0;Presumed drowning;Recoverd on Calamorcarro Beach, Ceuta;35.912383552874, -5.357673338898;https://bit.ly/39yKRyF
Mediterranean;30/12/2019;0;0;0;0;Hypothermia;Unspecififed location off the coast of Algeria;35.568972356329, -1.289773129748;https://bit.ly/2FqQHo4
US-Mexico Border;30/12/2019;0;0;0;0;Unknown (skeletal remains);Pima County jurisdiction, Arizona, USA;32.079925400000, -111.977598000000;http://www.humaneborders.info/
Mediterranean;30/12/2019;0;0;0;0;Presumed drowning;Unspecified location off the coast of Libya;32.845847906405, 12.564471287134;
Central America;30/12/2019;0;0;1;0;Violence;Train tracks near Atotonilco de Tula, Hidalgo, Mexico;20.009883384223, -99.215657551787;http://bit.ly/2QU1WM1
